database,source_id,pmid,pmcid,doi,title,abstract,authors,journal,year,record_url,nct_id,overall_status,databases_found,dedup_key
PubMed/MEDLINE,42569325,42569325,PMC13449468,10.1016/j.jlb.2026.100484,Early tumor-informed circulating tumor DNA (ctDNA) dynamics correlate with response to first-line advanced NSCLC treated with pembrolizumab ± chemotherapy.,"Immune checkpoint inhibitors (ICIs), alone or combined with chemotherapy, constitute the standard first-line treatment for advanced non-small cell lung cancer (NSCLC) without actionable oncogenic drivers. However, radiologic response assessment has limitations in capturing early biological treatment effects. Tumor-informed circulating tumor DNA (ctDNA) monitoring has emerged as a promising biomarker for early evaluation of treatment efficacy during immunotherapy. We conducted a prospective, single-center, longitudinal observational study including patients with stage IV NSCLC treated with first-line pembrolizumab with or without platinum-based chemotherapy between December 2021 and December 2024. Personalized, tumor-informed ctDNA assays (Signatera™, Natera, Inc.) were designed from tumor tissue and matched normal blood samples and applied to serial plasma samples collected at baseline (prior to ICI initiation) and every six weeks on-treatment. Early ctDNA dynamics were assessed from baseline to the first on-treatment assessment (six weeks post-treatment initiation) and were correlated with radiologic response assessed by RECIST v1.1, objective response rate (ORR), and progression-free survival (PFS). Fifteen patients were enrolled; baseline ctDNA positivity was observed in 13 (87%) patients. Among patients with ctDNA positivity, 11 (85%) experienced a molecular response characterized by ctDNA decrease (n = 1) or clearance (n = 10), while 2 (15%) showed an increase. Early molecular response was strongly associated with radiologic response, with a significantly higher ORR among patients with ctDNA clearance or decrease compared with those with ctDNA increase (91% vs 0%, p = 0.038). Early ctDNA change correlated with percentage change in target lesion size (Spearman R = 0.81, p < 0.001). Longitudinal monitoring demonstrated sustained ctDNA clearance or decrease in patients with durable disease control, while ctDNA positivity preceded radiologic progression. Patient-level survival analysis showed longer progression-free survival intervals predominantly among patients with early ctDNA clearance or decrease. Early clearance or decrease in ctDNA levels strongly predicted radiographic response in advanced NSCLC treated with first-line pembrolizumab with or without chemotherapy. ctDNA dynamics may complement radiological assessment and support more personalized, timely, and biologically informed treatment decisions in advanced NSCLC.",Enrico D; Vargas G; Wulfson G; Pupareli C; Tsou F; Peralta Tanco D; Waisberg F; Coradini L; Revelli Ling M; Chacón M; Borea R; Rolfo C; Martín C,The journal of liquid biopsy,2026,https://pubmed.ncbi.nlm.nih.gov/42569325/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42569325
PubMed/MEDLINE,42587156,42587156,,10.1038/s41586-026-10925-6,Biomarkers of nivolumab benefit in resectable non-small cell lung cancer.,"Perioperative nivolumab significantly improved event-free survival (EFS) compared with placebo in patients with resectable non-small cell lung cancer (NSCLC) in the CheckMate 77T study (ClinicalTrials.gov NCT04025879 )1. Here, after randomization, 98 out of 229 patients who received nivolumab and 92 out of 232 patients who received placebo had evaluable biomarkers (41% of randomized patients). Of the 98 patients receiving nivolumab, 83 (85%) had detectable circulating tumour DNA (ctDNA) before initiating neoadjuvant treatment and 90 (92%) at neoadjuvant treatment completion. Of the 92 placebo-treated patients, 75 (82%) had detectable ctDNA at the treatment start and 78 (85%) at completion. Among the 98 nivolumab-treated patients, 76 (78%) had detectable and evaluable ctDNA before and after neoadjuvant treatment, and 50 of them (66%) had pre-surgical ctDNA clearance, and 25 out of 50 (50%) had pathologic complete response (pCR). For the placebo-treated group, these values were 64 out 92 (70%) for detectable and evaluable ctDNA before and after neoadjuvant treatment, and 24 out of 64 (38%) had pre-surgical ctDNA clearance, and 3 out of 24 (12%) had pCR. Furthermore, 4 out of 48 (8%) patients in the nivolumab group and 9 out of 44 (20%) in the placebo group who were negative for molecular residual disease (MRD) after surgery and before adjuvant treatment initiation became positive during the adjuvant treatment period; all had disease recurrence. EFS seemed to be prolonged with nivolumab (n = 60) versus placebo (n = 45) in patients with single or co-alterations in any of the KEAP1, STK11, CDKN2A and/or SMARCA4 driver genes (hazard ratio, 0.48; 95% confidence interval, 0.28-0.83). In a machine-learning model trained using biomarker-evaluable patients, top predictors of prolonged EFS included pre-surgical ctDNA clearance, non-N2 NSCLC, pCR, squamous tumour histology and nivolumab treatment. These findings provide insights into predictive markers for outcomes with perioperative nivolumab in resectable NSCLC.",Cascone T; Awad MM; Spicer JD; He J; Lu S; Tanaka F; Cornelissen R; Petruzelka LB; Gao Y; Pujol JL; Ito H; de Oliveira Muniz Koch L; Ciuleanu TE; Wu L; Bohnet S; Watanabe Y; Taube JM; Deutsch JS; Erdmann CC; Meadows-Shropshire S; Neely J; Ip V; Hung YH; Sathyanarayana P; Bhatia S; Chu K; Blum SI; Lucherini S; Eddy N; Yadav A; Provencio M,Nature,2026,https://pubmed.ncbi.nlm.nih.gov/42587156/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42587156
PubMed/MEDLINE,42447505,42447505,PMC13446097,10.1158/2767-9764.crc-26-0070,Evaluation of Biomarkers for Sacituzumab Govitecan in Metastatic Non-Small Cell Lung Cancer: Insights From the EVOKE-01 Study.,"This exploratory analysis assessed predictive biomarkers for sacituzumab govitecan (SG) in the open-label, phase III EVOKE-01 study of SG versus docetaxel in non-small cell lung cancer (NSCLC). Trophoblast cell-surface antigen (Trop) 2 membrane protein expression was analyzed using immunohistochemistry in the Trop-2 biomarker-evaluable population (BEP). Circulating tumor DNA (ctDNA) analyses evaluated baseline and reduction of ctDNA with treatment and identified oncogenic driver alterations (KRAS, TP53, KEAP1, and STK11) and other relevant mutations in the ctDNA BEP. The median overall survival (OS) with SG versus docetaxel was 8.9 versus 9.8 months [hazard ratio (HR) = 0.96; 95% CI, 0.68-1.38] and 11.8 versus 10.7 months (HR = 0.89; 95% CI, 0.60-1.32) in subgroups with Trop-2 histologic scores greater than or equal to the median and less than the median, respectively. As expected, the median OS was longest in patients with undetectable baseline ctDNA. Reduction in ctDNA was observed after the first cycle with either treatment. KRAS driver alterations and potential immunotherapy resistance mutations (TP53, KEAP1, and STK11) were negative prognostic factors. Patients with TP53 mutations derived more benefit from SG than docetaxel. SG activity was observed independent of DNA damage repair (DDR) mutations. Trop-2 expression did not identify patients benefiting more from SG than from docetaxel. ctDNA reduction supported SG as active therapy in NSCLC. Evaluation of clinically relevant biomarkers in NSCLC identified KRAS, TP53, STK11, and KEAP1 mutations as negative prognostic factors in these second line-treated patients. The biomarker analyses of the phase III EVOKE-01 trial found that neither Trop-2 expression nor DDR alterations predicted benefit with SG versus docetaxel. Reduction in ctDNA in both treatment arms confirmed the activity of SG in this population. Further evaluation of predictive biomarkers for SG response in NSCLC is warranted.",Felip E; Kuo P; Garrido P; Chouaid C; Mountzios G; Tiseo M; Daniel DB; Zavodovskaya M; Tang S; Su-Feher L; Patel R; Park JK; Jürgensmeier JM; Summers Y,Cancer research communications,2026,https://pubmed.ncbi.nlm.nih.gov/42447505/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42447505
PubMed/MEDLINE,42489696,42489696,,10.1158/1078-0432.ccr-26-0656,Landmark ctDNA molecular response represents an early predictor of immunotherapy outcomes in lung cancer: A clinical validity study.,"Circulating tumor DNA (ctDNA) analyses are informative as an early indicator of immunotherapy response in advanced non-small cell lung cancer (NSCLC); however, the clinical value of ctDNA molecular response requires further validation. As part of a prospective clinical protocol (NCT05995821), we conducted targeted error-correction sequencing of ctDNA (n=328) and matched WBC DNA (n=109) from 109 patients with metastatic NSCLC who received anti-PD-(L)1 either as monotherapy or in combination. Following cellular origin resolution of 2,818 variants, landmark molecular response (mR) was defined as undetectable ctDNA within 3-9 weeks of treatment initiation. Pre-treatment ctDNA burden, but not blood tumor mutation burden, predicted survival. Implementing a tumor-naïve WBC DNA-informed approach increased the number of evaluable cases without compromising the overall accuracy of landmark ctDNA molecular responses. A direct comparison of single-timepoint on-therapy ctDNA assessment with ctDNA dynamics from baseline to the 3-9-week interval, along with an analysis of heterogeneity in molecular response within the 3-9-week window, showed that undetectable ctDNA at the landmark timepoint can effectively predict survival outcomes. A significant enrichment in landmark ctDNA mR was noted among patients with progression-free survival (PFS) ≥6 months on immunotherapy (p=2.5e-05) or chemo-immunotherapy (p=0.02). Patients in the landmark mR group had longer progression-free (p=1.6e-06) and overall survival (p=2.5e-05) than those with molecular progression. Landmark ctDNA molecular response provides a real-time, accurate approach for monitoring immunotherapy clinical outcomes. Although not currently validated for regulatory use, these findings demonstrate the potential validity of ctDNA as an early endpoint of immunotherapy response.",Niknafs N; Sivapalan L; Balan A; Wehr J; Pereira G; Hosseini-Nami S; Rao N; Jolly S; Velliangiri K; Beadles I; Loftus T; Chesnick B; Medina J; Xiao W; Pabani A; Marrone KA; Li QK; Murray JC; Rinaldi L; Dracopoli NC; Sausen M; Hann CL; Scott SC; Feliciano J; Lam VK; Levy B; Velculescu VE; Brahmer JR; Forde PM; Vellanki PJ; Anagnostou V,Clinical cancer research : an official journal of the American Association for Cancer Research,2026,https://pubmed.ncbi.nlm.nih.gov/42489696/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42489696
PubMed/MEDLINE,42059900,42059900,,10.1158/1078-0432.ccr-25-4983,Early ctDNA Stratifies Survival in Locally Advanced and Oligometastatic Lung Cancer Treated with Radiotherapy.,"Circulating tumor fraction estimate (ctFE) is a machine learning-derived composite metric of circulating tumor DNA (ctDNA) burden. We hypothesized that pre-treatment and early on-treatment ctFE could robustly risk-stratify patients with locally advanced (LA) and oligometastatic non-small cell lung cancer (NSCLC) treated with radiotherapy (RT). In a prospective phase II clinical trial (NCT03916419), 26 patients with unresectable stage IIB to IIIC NSCLC received magnetic resonance (MR)-guided hypofractionated chemoradiotherapy (chemoRT) followed by immunotherapy. Plasma ctDNA was profiled at baseline and mid-treatment (days 10-14) to derive ctFE and maximum variant allele frequency (Max VAF). A burden-based ctFE threshold derived from baseline samples was applied unchanged to mid-treatment samples and validated in two external cohorts: LA NSCLC treated with chemoRT (LA-RW; n = 94) and oligometastatic NSCLC treated with RT (OM-RW; n = 309). Pre- and mid-treatment ctFE burden strongly stratified overall survival (OS) and progression-free survival (PFS), outperforming Max VAF and ctFE detectability. The baseline ctFE was prognostic for OS (HR 5.93, P = 0.005) and PFS (HR 11.08, P < 0.001) and remained significant at mid-treatment (OS: HR 7.08; PFS: HR 12.06; both P < 0.001). Early ctFE dynamics defined three molecular response groups with OS separation (median OS 60.8 vs. 13.0 vs. 2.9 months; P < 0.001). ctFE remained associated with survival in both validation cohorts. Early ctFE derived from a clinically available, tumor-naïve ctDNA assay enables noninvasive risk stratification in LA and oligometastatic NSCLC treated with RT, supporting its use as a practical biomarker for precision treatment adaptation.",Hashmi A; Linford J; Chauhan PS; Parikh K; Pillai M; Guittar J; Ben-Shachar R; Patel J; Nimeiri H; Bergsagel M; Semenkovich NP; Park SS; Olivier KR; Owen D; Routman DM; Lee KN; Sherry AD; Mansfield AS; Morgensztern D; Govindan R; Robinson CG; Bergom C; Waqar SN; Samson PP; Pellini B; Vlacich GR; Chaudhuri AA,Clinical cancer research : an official journal of the American Association for Cancer Research,2026,https://pubmed.ncbi.nlm.nih.gov/42059900/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42059900
PubMed/MEDLINE,42514200,42514200,PMC13412772,10.3390/life16071130,Diagnostic and Prognostic Roles of Blood-Based Immune Biomarkers in Non-Small Cell Lung Cancer: An Umbrella Review of Systematic Reviews and Meta-Analyses.,"Blood-based biomarkers have emerged as promising, minimally invasive tools for the diagnosis, prognostic stratification, and treatment monitoring of non-small cell lung cancer (NSCLC), including markers of tumor burden, tumor dissemination, immune signaling, and post-transcriptional regulation. However, evidence across biomarker classes remains fragmented. This study aimed to synthesize published evidence on major blood-based biomarkers relevant to diagnosis, prognosis, treatment stratification, and monitoring in NSCLC. PubMed was searched for systematic reviews and meta-analyses of blood-based biomarkers in NSCLC. Of 356 screened records, 82 underwent full-text review, and 57 systematic reviews/meta-analyses were included. Biomarkers were grouped into four categories: circulating tumor DNA (ctDNA), circulating tumor cells (CTCs), cytokines/soluble immune proteins, and non-coding RNAs (ncRNAs). Reported pooled effect estimates were extracted by biomarker class and evidence domain, and the methodological quality of included reviews was assessed using AMSTAR 2. Evidence was unevenly distributed across biomarker classes and evidence domains. Circulating ncRNAs were mainly represented in diagnostic and prognostic evidence; selected diagnostic ncRNAs, including miR-145, miR-25, and circRNAs, showed reported AUCs ranging from 0.83 to 0.85. ctDNA was represented across diagnostic, prognostic, treatment-stratification, and dynamic monitoring evidence, with ctDNA positivity associated with poorer survival or recurrence outcomes and ctDNA clearance or decline associated with improved outcomes. CTC evidence was primarily prognostic, with CTC positivity associated with worse overall survival and disease-free survival. Soluble immune biomarker evidence was also primarily prognostic, with elevated soluble PD-L1 and IL-6 associated with adverse survival outcomes and limited exploratory monitoring evidence for exosomal PD-L1. Overall, the evidence suggested distinct but complementary roles across biomarker classes, although direct head-to-head comparisons were lacking. Blood-based biomarkers show potential to support diagnosis, prognosis, and longitudinal monitoring in NSCLC, but their reported utility differs by biomarker class and clinical context. In the available review-level evidence, ncRNAs were mainly represented in diagnostic and prognostic evidence, while ctDNA was represented across diagnostic, prognostic, treatment-stratification, and dynamic monitoring evidence. CTCs were mainly represented in prognostic evidence, and soluble immune biomarkers were primarily represented in prognostic evidence, with limited exploratory evidence for dynamic monitoring. Further assay standardization, prospective validation, and direct comparative studies are needed before these biomarkers can be routinely integrated into clinical practice.",Zhao P; Ling R; Li R; Kam YW,"Life (Basel, Switzerland)",2026,https://pubmed.ncbi.nlm.nih.gov/42514200/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42514200
PubMed/MEDLINE,42353230,42353230,PMC13300314,10.3390/ijms27125518,The Predictive Role of ctDNA and CTCs in Patients with Advanced Non-Small Cell Lung Cancer Receiving Immunotherapy: A Systematic Review and Meta-Analysis.,"Circulating tumour DNA (ctDNA) and circulating tumour cells (CTCs) have emerged as promising non-invasive biomarkers for the immunotherapy response in advanced non-small cell lung cancer (NSCLC). However, their clinical utility remains uncertain due to variability in findings across studies. We conducted a systematic review and meta-analysis of studies from 2014 to 2024, assessing the predictive value of ctDNA and CTCs in advanced NSCLC patients receiving immunotherapy. Primary outcomes were progression-free survival (PFS) and overall survival (OS). Forty-four studies were included (28 ctDNA, 16 CTC cohorts). High baseline ctDNA was associated with worse OS (pooled HR = 1.38, 95% CIs: 1.17-1.63), while baseline CTC detection predicted worse PFS (pooled HR of 3.65 (95% CIs: 1.58-8.41) and OS (pooled HR = 2.30, 95% CIs: 1.54-3.44). An on-treatment ctDNA decrease or clearance was associated with improved PFS (pooled HR = 0.34, 95% CIs: 0.25-0.47) and OS (pooled HR = 0.33, 95% CIs: 0.24-0.44). Evidence for other ctDNA- and CTC-derived biomarkers (blood tumour mutational burden, genomic alterations, dynamic CTC changes, and CTC PD-L1 expression) was limited or inconsistent. The interpretation of these findings is limited by heterogeneity in assay platforms, biomarker definitions, the analytical threshold, and sampling timepoints across studies. While ctDNA and CTCs show significant potential as predictive biomarkers in advanced NSCLC, further validation is needed in larger prospective studies using standardized assays. At present, ctDNA and CTC monitoring can complement but cannot replace radiological assessments in guiding immunotherapy decisions for NSCLC patients.",Kakouri AC; Spiliotaki M; Deltas C; Papagregoriou G; Charalambous H,International journal of molecular sciences,2026,https://pubmed.ncbi.nlm.nih.gov/42353230/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42353230
PubMed/MEDLINE,42344896,42344896,PMC13287079,10.3389/fimmu.2026.1812209,Prognostic utility of circulating tumor DNA assessment in immune checkpoint inhibitor-treated advanced non-small cell lung cancer: a systematic review and meta-analysis.,"This meta-analysis aimed to assess the prognostic value of circulating tumor DNA (ctDNA) in predicting progression-free survival (PFS) and overall survival (OS) of advanced non-small cell lung cancer (NSCLC) patients treated with immune checkpoint inhibitors (ICIs), thereby providing evidence-based support for clinical decision-making. Six major English and Chinese databases (PubMed, Embase, Cochrane Library, etc.) were scanned from inception to August 2025. Studies evaluating the association between ctDNA and survival outcomes in advanced NSCLC patients receiving ICIs were included. Thirty-one eligible studies (2,107 patients) were selected following predefined criteria. Study quality was evaluated using Cochrane RoB-2 and the Newcastle-Ottawa Scale (NOS). Hazard ratios (HRs) and 95% confidence intervals (95% CIs) were pooled using random/fixed-effects models. Heterogeneity was assessed via Cochran's Q test and I2 statistics. Subgroup analyses, sensitivity tests, and funnel plots were conducted to evaluate robustness and publication bias. Patients with undetectable ctDNA at baseline showed significantly prolonged PFS (HR = 0.49, 95% CI: 0.34-0.70, P < 0.01) and OS (HR = 0.45, 95% CI: 0.32-0.65, P < 0.01). Patients achieving ctDNA reduction or response during treatment exhibited substantial PFS (HR = 0.27, 95% CI: 0.21-0.35, P < 0.01) and OS (HR = 0.23, 95% CI: 0.17-0.31, P < 0.01) benefits, with complete molecular response (100% reduction in variant allele frequency, VAF) demonstrating the strongest predictive power, characterized by the lowest heterogeneity and favorable HRs for PFS (HR = 0.27, 95% CI: 0.18-0.41, P < 0.01) and OS (HR = 0.19, 95% CI: 0.12-0.29, P < 0.01). Subgroup analyses revealed three key patterns: superior predictive value in combination therapy versus monotherapy; higher sensitivity of next-generation sequencing (NGS) over digital polymerase chain reaction (PCR); and enhanced predictive power in later-line therapy compared to first-line therapy. Sensitivity analyses confirmed the stability of the results. Baseline ctDNA status and early dynamic changes are reliable prognostic indicators in advanced NSCLC patients receiving ICI therapy, particularly in combination regimens and cases achieving complete molecular clearance. These findings support ctDNA as a biomarker for personalized treatment strategies. https://www.crd.york.ac.uk/PROSPERO, CRD420251025308.",Wang Y; Wu S; Wei Y; Fan S; Xu Z; Li D; Teng Z; Wang J,Frontiers in immunology,2026,https://pubmed.ncbi.nlm.nih.gov/42344896/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42344896
PubMed/MEDLINE,42331673,42331673,,10.1016/j.arbres.2026.05.021,Circulating Tumor DNA is Associated With Pathologic Response and Survival Outcomes in Patients With Non-Small Cell Lung Cancer Treated With Neoadjuvant Immunotherapy: A Systematic Review and Meta-Analysis.,"Circulating tumor DNA (ctDNA) has emerged as a robust biomarker for tumor burden and survival outcome prediction, but its role in neoadjuvant immunotherapy for non-small cell lung cancer (NSCLC) remains unclear. PubMed, Web of Science, and Embase databases, as well as major international meetings (ASCO and ESMO), were systematically searched through February 2026. Clinical trials reporting patients with stage IA-IIIB NSCLC receiving neoadjuvant immunotherapy and documenting ctDNA levels together with outcome data, including pathologic complete response (pCR), major pathologic response (mPR), event-free survival (EFS), and overall survival (OS), were included. Twelve studies comprising 10 clinical trials with 381 patients were included. Patients with ctDNA clearance had improved pCR (OR, 0.14; 95%CI, 0.05-0.40; I2=37.3%) and mPR (OR, 0.25; 95%CI, 0.07-0.85; I2=57%). This association was also observed in the subgroup receiving neoadjuvant chemoimmunotherapy for pCR (OR, 0.16; 95%CI, 0.05-0.49). ctDNA clearance was significantly associated with improved EFS (HR, 0.31; 95%CI, 0.21-0.46) and OS (HR, 0.31; 95%CI, 0.13-0.74). Pooled sensitivity for pCR prediction was 0.92 (95%CI, 0.79-1.00), specificity was 0.52 (95%CI, 0.44-0.59), positive predictive value was 0.49 (95%CI, 0.40-0.58), and negative predictive value was 0.92 (95%CI, 0.76-1.00). Significant heterogeneity was observed in diagnostic performance. ctDNA clearance before surgery correlates with pathologic response and survival outcomes in patients with NSCLC undergoing neoadjuvant immunotherapy. However, the prognostic utility of ctDNA clearance is limited by low specificity and substantial heterogeneity.",Song Q; Shang S; Zhai Z; Ma S; Li X; Mo Y; Yin S; Jiang A; Lin Y; Zhang R; Dong X; Yu J; Chen D,Archivos de bronconeumologia,2026,https://pubmed.ncbi.nlm.nih.gov/42331673/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42331673
PubMed/MEDLINE,42456090,42456090,,10.1200/edbk-26-519336,"Navigating Multimodality Therapy in Non-Small Cell Lung Cancer: Neoadjuvant-Only Versus Perioperative Immunotherapy, Surgical Imperatives, and Future Approaches.","Neoadjuvant and perioperative immunotherapy have redefined the treatment landscape for select patients with early-stage and locally-advanced resectable non-small cell lung cancer (NSCLC). Immune checkpoint inhibitors targeting the PD-1/PD-L1 axis combined with platinum-based chemotherapy have achieved substantially higher rates of pathologic complete response and major pathologic response than chemotherapy alone, translating into meaningful improvements in event-free survival and, in select trials, overall survival. Despite this progress, several clinically important questions remain unanswered, including the relative value of neoadjuvant versus perioperative approaches, the optimal sequencing and duration of therapy, and how best to tailor treatment according to tumor biology, host features, and risk of disease recurrence. Emerging biomarkers such as PD-L1 expression, circulating tumor DNA dynamics, and pathologic response may help refine treatment selection although their role in routine decision making is still evolving. The integration of immunotherapy into curative-intent treatment also has important multidisciplinary implications. Accurate staging, appropriate biomarker testing, thoughtful considerations for multimodal therapy integration throughout the perioperative setting, high-quality surgical resection, and careful response assessment remain essential to maximize the benefit of systemic therapy. This review summarizes the current evidence supporting neoadjuvant and perioperative immunotherapy in resectable NSCLC and discusses key biomarkers, unresolved clinical questions, and the practical implications for multidisciplinary care.",Yavuz G; Wang M; Spicer JD; Cascone T; Corona-Cruz JF,American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting,2026,https://pubmed.ncbi.nlm.nih.gov/42456090/,,,"[""Europe PMC"", ""PubMed/MEDLINE""]",pmid:42456090
