"outcome","omitted_study","k","n_remaining","pooled_hr","ci_low","ci_high","I2_percent","tau2","prediction_interval_low","prediction_interval_high"
"PFS","Thompson et al., 2021",5,265,0.336933019444878,0.220242894491303,0.515448454554912,0,0,0.206967258199402,0.54851120210941
"PFS","Anagnostou et al., 2023",5,280,0.289257410850677,0.186196389856871,0.449363437155543,0,0,0.174580369733284,0.479262644820056
"PFS","Pellini et al., 2023",5,230,0.327709328757847,0.188198540012609,0.570638880342661,14.9125923544249,0.0304880679288041,0.140860478581365,0.762409763451753
"PFS","Zhang et al., 2024",5,293,0.321705436319293,0.210423843453779,0.491837740717438,0.000139716480307001,1.69334525716403e-07,0.197758248816881,0.523337905632546
"PFS","Fei et al., 2025",5,269,0.3109111408572,0.203753285637504,0.474425417026663,0,0,0.19154317309025,0.504668143215835
"PFS","Niknafs et al., 2026",5,238,0.343334501022222,0.215365588506731,0.547341756914401,0,0,0.201167863227568,0.585971226720391
"OS","Thompson et al., 2021",4,243,0.214923708539787,0.111218360321229,0.415328911153512,0,0,0.0881998503914574,0.523721982378431
"OS","Anagnostou et al., 2023",4,258,0.226164376376849,0.117437458377395,0.435553747915366,0,0,0.0932443608306497,0.548562129508597
"OS","Pellini et al., 2023",4,208,0.226374571241194,0.107327006639592,0.477470192350734,0,0,0.0825316933830046,0.620918393941339
"OS","Fei et al., 2025",4,247,0.21526934513891,0.109023015446226,0.425056037634477,0,0,0.0858057169605918,0.540067638824326
"OS","Niknafs et al., 2026",4,216,0.206100765107855,0.0991869791655094,0.428257073009178,0,0,0.0766747112648007,0.553996548240588
