"outcome","study","analysis_n","hr","ci_low","ci_high","log_hr","se_log_hr","inverse_variance_weight_percent","assessment","source"
"PFS","Thompson et al., 2021",50,0.2,0.08,0.5,-1.6094379124341,0.467503861857534,11.5039445013812,"Serial early assessment; complete-clearance subgroup","reported Cox estimate"
"PFS","Anagnostou et al., 2023",35,0.55,0.27,1.13,-0.59783700075562,0.365198280172468,18.3748869468822,"Cycle 3 day 1 (approximately 6-9 weeks)","reported Cox estimate"
"PFS","Pellini et al., 2023",85,0.31,0.19,0.5,-1.17118298150295,0.24683719545203,37.3386629590894,"Cycle 4 day 1 (approximately 9 weeks)","cycle-4 landmark Cox estimate"
"PFS","Zhang et al., 2024",22,0.3,0.1,1,-1.20397280432594,0.587404950079834,7.39713709366932,"After two cycles (approximately 6 weeks)","baseline-detectable sensitivity estimate"
"PFS","Fei et al., 2025",46,0.44,0.17,1.19,-0.82098055206983,0.49641477200714,10.2501278162086,"Cycle 3 day 1 (6 weeks); baseline-positive ICI-chemo subgroup","extracted from Figure 5C"
"PFS","Niknafs et al., 2026",77,0.19,0.09,0.44,-1.66073120682165,0.404845463768676,15.1352406827692,"Prespecified 3-9-week window","reported landmark-response Cox estimate"
"OS","Thompson et al., 2021",50,0.24,0.08,0.73,-1.42711635564015,0.564045542905069,11.8703233912002,"Serial early assessment; complete-clearance subgroup","reported Cox estimate"
"OS","Anagnostou et al., 2023",35,0.16,0.05,0.5,-1.83258146374831,0.587404950079834,10.944998097398,"Cycle 3 day 1 (approximately 6-9 weeks)","reported Cox estimate"
"OS","Pellini et al., 2023",85,0.2,0.1,0.39,-1.6094379124341,0.347194275984357,31.328945793937,"Cycle 4 day 1 (approximately 9 weeks)","cycle-4 landmark full-clearance estimate"
"OS","Fei et al., 2025",46,0.23,0.09,0.56,-1.46967597005894,0.466367527112479,17.3633807279943,"Cycle 3 day 1 (6 weeks); baseline-positive ICI-chemo subgroup","extracted from Figure 5B"
"OS","Niknafs et al., 2026",77,0.25,0.12,0.5,-1.38629436111989,0.364066984622436,28.4923519894705,"Prespecified 3-9-week window","reported landmark-response Cox estimate"
